human_selector_action;human_selector_location;robot_action;robot_location;robot_executing_cp;world_nr;tick_nr
;(3, 4);;(4, 4);False;1;0
MoveEast;(4, 4);;(4, 4);False;1;1
;(4, 4);MoveEast;(4, 4);False;1;2
MoveEast;(5, 4);MoveEast;(4, 4);False;1;3
;(5, 4);MoveEast;(4, 4);False;1;4
;(5, 4);MoveEast;(4, 4);False;1;5
MoveEast;(6, 4);MoveEast;(4, 4);False;1;6
;(6, 4);MoveEast;(4, 4);False;1;7
MoveEast;(7, 4);MoveEast;(4, 4);False;1;8
;(7, 4);MoveEast;(4, 4);False;1;9
;(7, 4);MoveEast;(4, 4);False;1;10
MoveEast;(8, 4);MoveEast;(4, 4);False;1;11
;(8, 4);MoveEast;(5, 4);False;1;12
;(8, 4);MoveEast;(5, 4);False;1;13
;(8, 4);MoveEast;(5, 4);False;1;14
MoveSouth;(8, 5);MoveEast;(5, 4);False;1;15
;(8, 5);MoveEast;(5, 4);False;1;16
;(8, 5);MoveEast;(5, 4);False;1;17
MoveSouth;(8, 6);MoveEast;(5, 4);False;1;18
;(8, 6);MoveEast;(5, 4);False;1;19
;(8, 6);MoveEast;(5, 4);False;1;20
MoveSouth;(8, 7);MoveEast;(5, 4);False;1;21
;(8, 7);MoveEast;(5, 4);False;1;22
;(8, 7);MoveEast;(6, 4);False;1;23
;(8, 7);MoveEast;(6, 4);False;1;24
MoveSouth;(8, 8);MoveEast;(6, 4);False;1;25
;(8, 8);MoveEast;(6, 4);False;1;26
;(8, 8);MoveEast;(6, 4);False;1;27
;(8, 8);MoveEast;(6, 4);False;1;28
;(8, 8);MoveEast;(6, 4);False;1;29
;(8, 8);MoveEast;(6, 4);False;1;30
;(8, 8);MoveEast;(6, 4);False;1;31
;(8, 8);MoveEast;(6, 4);False;1;32
;(8, 8);MoveEast;(6, 4);False;1;33
;(8, 8);MoveEast;(7, 4);False;1;34
;(8, 8);MoveEast;(7, 4);False;1;35
;(8, 8);MoveEast;(7, 4);False;1;36
;(8, 8);MoveEast;(7, 4);False;1;37
;(8, 8);MoveEast;(7, 4);False;1;38
;(8, 8);MoveEast;(7, 4);False;1;39
;(8, 8);MoveEast;(7, 4);False;1;40
;(8, 8);MoveEast;(7, 4);False;1;41
;(8, 8);MoveEast;(7, 4);False;1;42
;(8, 8);MoveEast;(7, 4);False;1;43
;(8, 8);MoveEast;(7, 4);False;1;44
;(8, 8);MoveEast;(8, 4);False;1;45
;(8, 8);MoveNorthEast;(8, 4);False;1;46
;(8, 8);MoveNorthEast;(8, 4);False;1;47
;(8, 8);MoveNorthEast;(8, 4);False;1;48
MoveWest;(7, 8);MoveNorthEast;(8, 4);False;1;49
;(7, 8);MoveNorthEast;(8, 4);False;1;50
MoveWest;(6, 8);MoveNorthEast;(8, 4);False;1;51
;(6, 8);MoveNorthEast;(8, 4);False;1;52
;(6, 8);MoveNorthEast;(8, 4);False;1;53
;(6, 8);MoveNorthEast;(8, 4);False;1;54
;(6, 8);MoveNorthEast;(8, 4);False;1;55
;(6, 8);MoveNorthEast;(9, 3);False;1;56
;(6, 8);MoveEast;(9, 3);False;1;57
;(6, 8);MoveEast;(9, 3);False;1;58
;(6, 8);MoveEast;(9, 3);False;1;59
;(6, 8);MoveEast;(9, 3);False;1;60
;(6, 8);MoveEast;(9, 3);False;1;61
;(6, 8);MoveEast;(9, 3);False;1;62
;(6, 8);MoveEast;(9, 3);False;1;63
;(6, 8);MoveEast;(9, 3);False;1;64
;(6, 8);MoveEast;(9, 3);False;1;65
;(6, 8);MoveEast;(9, 3);False;1;66
;(6, 8);MoveEast;(10, 3);False;1;67
;(6, 8);GrabObject;(10, 3);False;1;68
;(6, 8);GrabObject;(10, 3);False;1;69
;(6, 8);GrabObject;(10, 3);False;1;70
;(6, 8);GrabObject;(10, 3);False;1;71
;(6, 8);GrabObject;(10, 3);False;1;72
;(6, 8);GrabObject;(10, 3);False;1;73
;(6, 8);GrabObject;(10, 3);False;1;74
;(6, 8);GrabObject;(10, 3);False;1;75
;(6, 8);GrabObject;(10, 3);False;1;76
;(6, 8);GrabObject;(10, 3);False;1;77
;(6, 8);GrabObject;(10, 3);False;1;78
;(6, 8);;(10, 3);False;1;79
;(6, 8);MoveWest;(10, 3);False;1;80
;(6, 8);MoveWest;(10, 3);False;1;81
;(6, 8);MoveWest;(10, 3);False;1;82
;(6, 8);MoveWest;(10, 3);False;1;83
;(6, 8);MoveWest;(10, 3);False;1;84
;(6, 8);MoveWest;(10, 3);False;1;85
;(6, 8);MoveWest;(10, 3);False;1;86
MoveWest;(5, 8);MoveWest;(10, 3);False;1;87
;(5, 8);MoveWest;(10, 3);False;1;88
;(5, 8);MoveWest;(10, 3);False;1;89
;(5, 8);MoveWest;(9, 3);False;1;90
;(5, 8);MoveWest;(9, 3);False;1;91
;(5, 8);MoveWest;(9, 3);False;1;92
;(5, 8);MoveWest;(9, 3);False;1;93
;(5, 8);MoveWest;(9, 3);False;1;94
;(5, 8);MoveWest;(9, 3);False;1;95
;(5, 8);MoveWest;(9, 3);False;1;96
;(5, 8);MoveWest;(9, 3);False;1;97
;(5, 8);MoveWest;(9, 3);False;1;98
MoveEast;(6, 8);MoveWest;(9, 3);False;1;99
;(6, 8);MoveWest;(9, 3);False;1;100
;(6, 8);MoveWest;(8, 3);False;1;101
;(6, 8);MoveWest;(8, 3);False;1;102
MoveEast;(7, 8);MoveWest;(8, 3);False;1;103
;(7, 8);MoveWest;(8, 3);False;1;104
;(7, 8);MoveWest;(8, 3);False;1;105
MoveEast;(8, 8);MoveWest;(8, 3);False;1;106
;(8, 8);MoveWest;(8, 3);False;1;107
;(8, 8);MoveWest;(8, 3);False;1;108
;(8, 8);MoveWest;(8, 3);False;1;109
;(8, 8);MoveWest;(8, 3);False;1;110
;(8, 8);MoveWest;(8, 3);False;1;111
;(8, 8);MoveWest;(7, 3);False;1;112
;(8, 8);MoveWest;(7, 3);False;1;113
;(8, 8);MoveWest;(7, 3);False;1;114
GrabObject;(8, 8);MoveWest;(7, 3);False;1;115
;(8, 8);MoveWest;(7, 3);False;1;116
;(8, 8);MoveWest;(7, 3);False;1;117
;(8, 8);MoveWest;(7, 3);False;1;118
;(8, 8);MoveWest;(7, 3);False;1;119
MoveWest;(7, 8);MoveWest;(7, 3);False;1;120
;(7, 8);MoveWest;(7, 3);False;1;121
;(7, 8);MoveWest;(7, 3);False;1;122
;(7, 8);MoveWest;(6, 3);False;1;123
MoveWest;(6, 8);MoveWest;(6, 3);False;1;124
;(6, 8);MoveWest;(6, 3);False;1;125
MoveWest;(5, 8);MoveWest;(6, 3);False;1;126
;(5, 8);MoveWest;(6, 3);False;1;127
;(5, 8);MoveWest;(6, 3);False;1;128
MoveWest;(4, 8);MoveWest;(6, 3);False;1;129
;(4, 8);MoveWest;(6, 3);False;1;130
;(4, 8);MoveWest;(6, 3);False;1;131
;(4, 8);MoveWest;(6, 3);False;1;132
;(4, 8);MoveWest;(6, 3);False;1;133
DropObject;(4, 8);MoveWest;(5, 3);False;1;134
;(4, 8);MoveNorthWest;(5, 3);False;1;135
;(4, 8);MoveNorthWest;(5, 3);False;1;136
;(4, 8);MoveNorthWest;(5, 3);False;1;137
;(4, 8);MoveNorthWest;(5, 3);False;1;138
MoveEast;(5, 8);MoveNorthWest;(5, 3);False;1;139
;(5, 8);MoveNorthWest;(5, 3);False;1;140
;(5, 8);MoveNorthWest;(5, 3);False;1;141
;(5, 8);MoveNorthWest;(5, 3);False;1;142
MoveEast;(6, 8);MoveNorthWest;(5, 3);False;1;143
;(6, 8);MoveNorthWest;(5, 3);False;1;144
;(6, 8);MoveNorthWest;(4, 2);False;1;145
MoveEast;(7, 8);MoveWest;(4, 2);False;1;146
;(7, 8);MoveWest;(4, 2);False;1;147
;(7, 8);MoveWest;(4, 2);False;1;148
;(7, 8);MoveWest;(4, 2);False;1;149
;(7, 8);MoveWest;(4, 2);False;1;150
MoveSouth;(7, 9);MoveWest;(4, 2);False;1;151
;(7, 9);MoveWest;(4, 2);False;1;152
;(7, 9);MoveWest;(4, 2);False;1;153
;(7, 9);MoveWest;(4, 2);False;1;154
;(7, 9);MoveWest;(4, 2);False;1;155
;(7, 9);MoveWest;(3, 2);False;1;156
GrabObject;(7, 9);MoveNorthWest;(3, 2);False;1;157
;(7, 9);MoveNorthWest;(3, 2);False;1;158
;(7, 9);MoveNorthWest;(3, 2);False;1;159
MoveWest;(6, 9);MoveNorthWest;(3, 2);False;1;160
;(6, 9);MoveNorthWest;(3, 2);False;1;161
;(6, 9);MoveNorthWest;(3, 2);False;1;162
;(6, 9);MoveNorthWest;(3, 2);False;1;163
MoveWest;(5, 9);MoveNorthWest;(3, 2);False;1;164
;(5, 9);MoveNorthWest;(3, 2);False;1;165
MoveWest;(4, 9);MoveNorthWest;(3, 2);False;1;166
;(4, 9);MoveNorthWest;(2, 1);False;1;167
MoveWest;(3, 9);MoveWest;(2, 1);False;1;168
;(3, 9);MoveWest;(2, 1);False;1;169
;(3, 9);MoveWest;(2, 1);False;1;170
;(3, 9);MoveWest;(2, 1);False;1;171
;(3, 9);MoveWest;(2, 1);False;1;172
;(3, 9);MoveWest;(2, 1);False;1;173
DropObject;(3, 9);MoveWest;(2, 1);False;1;174
;(3, 9);MoveWest;(2, 1);False;1;175
MoveEast;(4, 9);MoveWest;(2, 1);False;1;176
;(4, 9);MoveWest;(2, 1);False;1;177
;(4, 9);MoveWest;(1, 1);False;1;178
MoveEast;(5, 9);DropObject;(1, 1);False;1;179
;(5, 9);DropObject;(1, 1);False;1;180
;(5, 9);DropObject;(1, 1);False;1;181
;(5, 9);DropObject;(1, 1);False;1;182
;(5, 9);DropObject;(1, 1);False;1;183
;(5, 9);DropObject;(1, 1);False;1;184
;(5, 9);DropObject;(1, 1);False;1;185
;(5, 9);DropObject;(1, 1);False;1;186
MoveWest;(4, 9);DropObject;(1, 1);False;1;187
;(4, 9);DropObject;(1, 1);False;1;188
;(4, 9);DropObject;(1, 1);False;1;189
;(4, 9);;(1, 1);False;1;190
MoveWest;(3, 9);Idle;(1, 1);False;1;191
;(3, 9);Idle;(1, 1);False;1;192
;(3, 9);Idle;(1, 1);False;1;193
;(3, 9);Idle;(1, 1);False;1;194
;(3, 9);Idle;(1, 1);False;1;195
MoveSouth;(3, 10);Idle;(1, 1);False;1;196
;(3, 10);Idle;(1, 1);False;1;197
;(3, 10);Idle;(1, 1);False;1;198
;(3, 10);Idle;(1, 1);False;1;199
;(3, 10);Idle;(1, 1);False;1;200
;(3, 10);Idle;(1, 1);False;1;201
MoveEast;(4, 10);Idle;(1, 1);False;1;202
;(4, 10);Idle;(1, 1);False;1;203
;(4, 10);Idle;(1, 1);False;1;204
;(4, 10);Idle;(1, 1);False;1;205
;(4, 10);Idle;(1, 1);False;1;206
;(4, 10);Idle;(1, 1);False;1;207
;(4, 10);Idle;(1, 1);False;1;208
GrabObject;(4, 10);Idle;(1, 1);False;1;209
;(4, 10);Idle;(1, 1);False;1;210
MoveWest;(3, 10);Idle;(1, 1);False;1;211
;(3, 10);Idle;(1, 1);False;1;212
;(3, 10);Idle;(1, 1);False;1;213
MoveWest;(2, 10);Idle;(1, 1);False;1;214
;(2, 10);Idle;(1, 1);False;1;215
;(2, 10);Idle;(1, 1);False;1;216
MoveWest;(1, 10);Idle;(1, 1);False;1;217
;(1, 10);Idle;(1, 1);False;1;218
;(1, 10);Idle;(1, 1);False;1;219
;(1, 10);Idle;(1, 1);False;1;220
MoveNorth;(1, 9);Idle;(1, 1);False;1;221
;(1, 9);Idle;(1, 1);False;1;222
;(1, 9);Idle;(1, 1);False;1;223
;(1, 9);Idle;(1, 1);False;1;224
;(1, 9);Idle;(1, 1);False;1;225
;(1, 9);Idle;(1, 1);False;1;226
