human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveEast;(4, 4);1;1
;(4, 4);1;2
;(4, 4);1;3
;(4, 4);1;4
;(4, 4);1;5
;(4, 4);1;6
;(4, 4);1;7
;(4, 4);1;8
;(4, 4);1;9
;(4, 4);1;10
;(4, 4);1;11
;(4, 4);1;12
;(4, 4);1;13
;(4, 4);1;14
;(4, 4);1;15
;(4, 4);1;16
;(4, 4);1;17
;(4, 4);1;18
;(4, 4);1;19
;(4, 4);1;20
;(4, 4);1;21
;(4, 4);1;22
;(4, 4);1;23
;(4, 4);1;24
;(4, 4);1;25
;(4, 4);1;26
;(4, 4);1;27
;(4, 4);1;28
MoveEast;(5, 4);1;29
;(5, 4);1;30
;(5, 4);1;31
;(5, 4);1;32
;(5, 4);1;33
MoveEast;(6, 4);1;34
;(6, 4);1;35
;(6, 4);1;36
;(6, 4);1;37
;(6, 4);1;38
;(6, 4);1;39
;(6, 4);1;40
MoveEast;(7, 4);1;41
;(7, 4);1;42
;(7, 4);1;43
;(7, 4);1;44
;(7, 4);1;45
;(7, 4);1;46
;(7, 4);1;47
;(7, 4);1;48
;(7, 4);1;49
MoveEast;(8, 4);1;50
;(8, 4);1;51
;(8, 4);1;52
;(8, 4);1;53
;(8, 4);1;54
;(8, 4);1;55
;(8, 4);1;56
;(8, 4);1;57
;(8, 4);1;58
;(8, 4);1;59
;(8, 4);1;60
;(8, 4);1;61
;(8, 4);1;62
;(8, 4);1;63
MoveSouth;(8, 5);1;64
;(8, 5);1;65
;(8, 5);1;66
;(8, 5);1;67
;(8, 5);1;68
;(8, 5);1;69
MoveSouth;(8, 6);1;70
;(8, 6);1;71
;(8, 6);1;72
;(8, 6);1;73
;(8, 6);1;74
;(8, 6);1;75
;(8, 6);1;76
;(8, 6);1;77
;(8, 6);1;78
;(8, 6);1;79
;(8, 6);1;80
;(8, 6);1;81
;(8, 6);1;82
;(8, 6);1;83
;(8, 6);1;84
;(8, 6);1;85
;(8, 6);1;86
;(8, 6);1;87
;(8, 6);1;88
;(8, 6);1;89
;(8, 6);1;90
;(8, 6);1;91
;(8, 6);1;92
;(8, 6);1;93
;(8, 6);1;94
;(8, 6);1;95
;(8, 6);1;96
;(8, 6);1;97
;(8, 6);1;98
;(8, 6);1;99
;(8, 6);1;100
;(8, 6);1;101
;(8, 6);1;102
;(8, 6);1;103
;(8, 6);1;104
;(8, 6);1;105
;(8, 6);1;106
;(8, 6);1;107
;(8, 6);1;108
;(8, 6);1;109
;(8, 6);1;110
;(8, 6);1;111
;(8, 6);1;112
;(8, 6);1;113
;(8, 6);1;114
;(8, 6);1;115
;(8, 6);1;116
GrabObject;(8, 6);1;117
;(8, 6);1;118
;(8, 6);1;119
;(8, 6);1;120
;(8, 6);1;121
;(8, 6);1;122
;(8, 6);1;123
;(8, 6);1;124
;(8, 6);1;125
;(8, 6);1;126
;(8, 6);1;127
;(8, 6);1;128
;(8, 6);1;129
;(8, 6);1;130
;(8, 6);1;131
;(8, 6);1;132
;(8, 6);1;133
;(8, 6);1;134
;(8, 6);1;135
;(8, 6);1;136
;(8, 6);1;137
;(8, 6);1;138
;(8, 6);1;139
;(8, 6);1;140
;(8, 6);1;141
;(8, 6);1;142
MoveWest;(7, 6);1;143
;(7, 6);1;144
;(7, 6);1;145
;(7, 6);1;146
;(7, 6);1;147
MoveWest;(6, 6);1;148
;(6, 6);1;149
;(6, 6);1;150
MoveWest;(5, 6);1;151
;(5, 6);1;152
;(5, 6);1;153
;(5, 6);1;154
;(5, 6);1;155
;(5, 6);1;156
;(5, 6);1;157
;(5, 6);1;158
;(5, 6);1;159
;(5, 6);1;160
;(5, 6);1;161
;(5, 6);1;162
;(5, 6);1;163
;(5, 6);1;164
;(5, 6);1;165
;(5, 6);1;166
DropObject;(5, 6);1;167
;(5, 6);1;168
;(5, 6);1;169
;(5, 6);1;170
;(5, 6);1;171
;(5, 6);1;172
;(5, 6);1;173
;(5, 6);1;174
;(5, 6);1;175
;(5, 6);1;176
;(5, 6);1;177
;(5, 6);1;178
;(5, 6);1;179
;(5, 6);1;180
;(5, 6);1;181
;(5, 6);1;182
;(5, 6);1;183
;(5, 6);1;184
MoveEast;(6, 6);1;185
;(6, 6);1;186
;(6, 6);1;187
;(6, 6);1;188
MoveEast;(7, 6);1;189
;(7, 6);1;190
;(7, 6);1;191
;(7, 6);1;192
MoveEast;(8, 6);1;193
;(8, 6);1;194
;(8, 6);1;195
MoveEast;(9, 6);1;196
;(9, 6);1;197
;(9, 6);1;198
;(9, 6);1;199
;(9, 6);1;200
MoveEast;(10, 6);1;201
;(10, 6);1;202
;(10, 6);1;203
;(10, 6);1;204
;(10, 6);1;205
;(10, 6);1;206
;(10, 6);1;207
;(10, 6);1;208
;(10, 6);1;209
;(10, 6);1;210
;(10, 6);1;211
;(10, 6);1;212
;(10, 6);1;213
;(10, 6);1;214
;(10, 6);1;215
;(10, 6);1;216
GrabObject;(10, 6);1;217
;(10, 6);1;218
;(10, 6);1;219
;(10, 6);1;220
;(10, 6);1;221
;(10, 6);1;222
;(10, 6);1;223
;(10, 6);1;224
;(10, 6);1;225
;(10, 6);1;226
;(10, 6);1;227
;(10, 6);1;228
;(10, 6);1;229
;(10, 6);1;230
MoveWest;(9, 6);1;231
;(9, 6);1;232
;(9, 6);1;233
;(9, 6);1;234
MoveWest;(8, 6);1;235
;(8, 6);1;236
;(8, 6);1;237
;(8, 6);1;238
MoveWest;(7, 6);1;239
;(7, 6);1;240
;(7, 6);1;241
;(7, 6);1;242
MoveWest;(6, 6);1;243
;(6, 6);1;244
;(6, 6);1;245
MoveWest;(5, 6);1;246
;(5, 6);1;247
;(5, 6);1;248
;(5, 6);1;249
;(5, 6);1;250
;(5, 6);1;251
GrabObject;(5, 6);1;252
;(5, 6);1;253
;(5, 6);1;254
;(5, 6);1;255
;(5, 6);1;256
;(5, 6);1;257
;(5, 6);1;258
;(5, 6);1;259
;(5, 6);1;260
;(5, 6);1;261
;(5, 6);1;262
;(5, 6);1;263
;(5, 6);1;264
;(5, 6);1;265
;(5, 6);1;266
;(5, 6);1;267
DropObject;(5, 6);1;268
;(5, 6);1;269
;(5, 6);1;270
;(5, 6);1;271
;(5, 6);1;272
;(5, 6);1;273
;(5, 6);1;274
;(5, 6);1;275
;(5, 6);1;276
;(5, 6);1;277
;(5, 6);1;278
MoveSouth;(5, 7);1;279
;(5, 7);1;280
;(5, 7);1;281
;(5, 7);1;282
;(5, 7);1;283
;(5, 7);1;284
;(5, 7);1;285
;(5, 7);1;286
MoveNorth;(5, 6);1;287
;(5, 6);1;288
;(5, 6);1;289
;(5, 6);1;290
;(5, 6);1;291
;(5, 6);1;292
;(5, 6);1;293
;(5, 6);1;294
;(5, 6);1;295
;(5, 6);1;296
;(5, 6);1;297
MoveEast;(6, 6);1;298
;(6, 6);1;299
;(6, 6);1;300
;(6, 6);1;301
MoveEast;(7, 6);1;302
;(7, 6);1;303
;(7, 6);1;304
;(7, 6);1;305
MoveEast;(8, 6);1;306
;(8, 6);1;307
;(8, 6);1;308
;(8, 6);1;309
MoveEast;(9, 6);1;310
;(9, 6);1;311
;(9, 6);1;312
;(9, 6);1;313
;(9, 6);1;314
;(9, 6);1;315
;(9, 6);1;316
;(9, 6);1;317
;(9, 6);1;318
;(9, 6);1;319
;(9, 6);1;320
;(9, 6);1;321
;(9, 6);1;322
;(9, 6);1;323
;(9, 6);1;324
;(9, 6);1;325
;(9, 6);1;326
;(9, 6);1;327
;(9, 6);1;328
;(9, 6);1;329
;(9, 6);1;330
;(9, 6);1;331
GrabObject;(9, 6);1;332
;(9, 6);1;333
;(9, 6);1;334
;(9, 6);1;335
;(9, 6);1;336
;(9, 6);1;337
;(9, 6);1;338
;(9, 6);1;339
;(9, 6);1;340
;(9, 6);1;341
;(9, 6);1;342
;(9, 6);1;343
;(9, 6);1;344
;(9, 6);1;345
;(9, 6);1;346
;(9, 6);1;347
;(9, 6);1;348
;(9, 6);1;349
MoveWest;(8, 6);1;350
;(8, 6);1;351
;(8, 6);1;352
;(8, 6);1;353
;(8, 6);1;354
;(8, 6);1;355
;(8, 6);1;356
;(8, 6);1;357
;(8, 6);1;358
;(8, 6);1;359
;(8, 6);1;360
MoveWest;(7, 6);1;361
;(7, 6);1;362
;(7, 6);1;363
;(7, 6);1;364
;(7, 6);1;365
;(7, 6);1;366
MoveWest;(6, 6);1;367
;(6, 6);1;368
;(6, 6);1;369
;(6, 6);1;370
;(6, 6);1;371
;(6, 6);1;372
