human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveEast;(4, 4);1;1
;(4, 4);1;2
;(4, 4);1;3
;(4, 4);1;4
;(4, 4);1;5
;(4, 4);1;6
MoveEast;(5, 4);1;7
;(5, 4);1;8
;(5, 4);1;9
;(5, 4);1;10
;(5, 4);1;11
;(5, 4);1;12
;(5, 4);1;13
;(5, 4);1;14
;(5, 4);1;15
;(5, 4);1;16
;(5, 4);1;17
;(5, 4);1;18
;(5, 4);1;19
;(5, 4);1;20
MoveSouth;(5, 5);1;21
;(5, 5);1;22
;(5, 5);1;23
;(5, 5);1;24
;(5, 5);1;25
;(5, 5);1;26
;(5, 5);1;27
;(5, 5);1;28
;(5, 5);1;29
;(5, 5);1;30
MoveEast;(6, 5);1;31
;(6, 5);1;32
;(6, 5);1;33
;(6, 5);1;34
;(6, 5);1;35
;(6, 5);1;36
;(6, 5);1;37
;(6, 5);1;38
;(6, 5);1;39
;(6, 5);1;40
MoveEast;(7, 5);1;41
MoveEast;(8, 5);1;42
;(8, 5);1;43
;(8, 5);1;44
MoveEast;(9, 5);1;45
;(9, 5);1;46
MoveEast;(10, 5);1;47
;(10, 5);1;48
MoveEast;(11, 5);1;49
;(11, 5);1;50
;(11, 5);1;51
;(11, 5);1;52
;(11, 5);1;53
;(11, 5);1;54
;(11, 5);1;55
;(11, 5);1;56
;(11, 5);1;57
;(11, 5);1;58
MoveWest;(10, 5);1;59
;(10, 5);1;60
;(10, 5);1;61
;(10, 5);1;62
;(10, 5);1;63
;(10, 5);1;64
;(10, 5);1;65
;(10, 5);1;66
;(10, 5);1;67
;(10, 5);1;68
;(10, 5);1;69
;(10, 5);1;70
;(10, 5);1;71
;(10, 5);1;72
;(10, 5);1;73
;(10, 5);1;74
;(10, 5);1;75
;(10, 5);1;76
;(10, 5);1;77
;(10, 5);1;78
;(10, 5);1;79
;(10, 5);1;80
;(10, 5);1;81
GrabObject;(10, 5);1;82
;(10, 5);1;83
;(10, 5);1;84
;(10, 5);1;85
;(10, 5);1;86
;(10, 5);1;87
;(10, 5);1;88
;(10, 5);1;89
;(10, 5);1;90
;(10, 5);1;91
;(10, 5);1;92
;(10, 5);1;93
;(10, 5);1;94
;(10, 5);1;95
;(10, 5);1;96
MoveEast;(11, 5);1;97
;(11, 5);1;98
;(11, 5);1;99
;(11, 5);1;100
;(11, 5);1;101
;(11, 5);1;102
;(11, 5);1;103
;(11, 5);1;104
;(11, 5);1;105
;(11, 5);1;106
MoveEast;(12, 5);1;107
MoveEast;(13, 5);1;108
MoveEast;(14, 5);1;109
MoveEast;(15, 5);1;110
MoveEast;(16, 5);1;111
MoveEast;(17, 5);1;112
;(17, 5);1;113
MoveEast;(18, 5);1;114
MoveEast;(19, 5);1;115
MoveEast;(19, 5);1;116
;(19, 5);1;117
;(19, 5);1;118
;(19, 5);1;119
;(19, 5);1;120
;(19, 5);1;121
;(19, 5);1;122
;(19, 5);1;123
;(19, 5);1;124
;(19, 5);1;125
DropObject;(19, 5);1;126
;(19, 5);1;127
;(19, 5);1;128
;(19, 5);1;129
;(19, 5);1;130
;(19, 5);1;131
MoveWest;(18, 5);1;132
;(18, 5);1;133
;(18, 5);1;134
;(18, 5);1;135
;(18, 5);1;136
;(18, 5);1;137
;(18, 5);1;138
;(18, 5);1;139
;(18, 5);1;140
;(18, 5);1;141
MoveWest;(17, 5);1;142
MoveWest;(16, 5);1;143
MoveWest;(15, 5);1;144
;(15, 5);1;145
MoveWest;(14, 5);1;146
;(14, 5);1;147
MoveWest;(13, 5);1;148
;(13, 5);1;149
MoveWest;(12, 5);1;150
;(12, 5);1;151
MoveWest;(11, 5);1;152
;(11, 5);1;153
MoveWest;(10, 5);1;154
;(10, 5);1;155
MoveWest;(9, 5);1;156
;(9, 5);1;157
;(9, 5);1;158
;(9, 5);1;159
;(9, 5);1;160
;(9, 5);1;161
;(9, 5);1;162
;(9, 5);1;163
;(9, 5);1;164
;(9, 5);1;165
MoveWest;(8, 5);1;166
;(8, 5);1;167
;(8, 5);1;168
;(8, 5);1;169
;(8, 5);1;170
;(8, 5);1;171
MoveEast;(9, 5);1;172
;(9, 5);1;173
;(9, 5);1;174
;(9, 5);1;175
;(9, 5);1;176
;(9, 5);1;177
;(9, 5);1;178
;(9, 5);1;179
;(9, 5);1;180
;(9, 5);1;181
GrabObject;(9, 5);1;182
;(9, 5);1;183
;(9, 5);1;184
;(9, 5);1;185
;(9, 5);1;186
;(9, 5);1;187
;(9, 5);1;188
;(9, 5);1;189
;(9, 5);1;190
MoveEast;(10, 5);1;191
;(10, 5);1;192
;(10, 5);1;193
;(10, 5);1;194
;(10, 5);1;195
;(10, 5);1;196
;(10, 5);1;197
;(10, 5);1;198
;(10, 5);1;199
;(10, 5);1;200
MoveEast;(11, 5);1;201
MoveEast;(12, 5);1;202
MoveEast;(13, 5);1;203
;(13, 5);1;204
MoveEast;(14, 5);1;205
MoveEast;(15, 5);1;206
MoveEast;(16, 5);1;207
;(16, 5);1;208
MoveEast;(17, 5);1;209
;(17, 5);1;210
;(17, 5);1;211
;(17, 5);1;212
;(17, 5);1;213
;(17, 5);1;214
;(17, 5);1;215
;(17, 5);1;216
;(17, 5);1;217
DropObject;(17, 5);1;218
;(17, 5);1;219
;(17, 5);1;220
;(17, 5);1;221
;(17, 5);1;222
;(17, 5);1;223
;(17, 5);1;224
;(17, 5);1;225
;(17, 5);1;226
MoveWest;(16, 5);1;227
;(16, 5);1;228
;(16, 5);1;229
;(16, 5);1;230
;(16, 5);1;231
;(16, 5);1;232
MoveWest;(15, 5);1;233
;(15, 5);1;234
;(15, 5);1;235
;(15, 5);1;236
;(15, 5);1;237
;(15, 5);1;238
;(15, 5);1;239
;(15, 5);1;240
;(15, 5);1;241
;(15, 5);1;242
MoveWest;(14, 5);1;243
;(14, 5);1;244
MoveWest;(13, 5);1;245
;(13, 5);1;246
MoveWest;(12, 5);1;247
;(12, 5);1;248
MoveWest;(11, 5);1;249
MoveWest;(10, 5);1;250
MoveWest;(9, 5);1;251
MoveWest;(8, 5);1;252
MoveWest;(7, 5);1;253
;(7, 5);1;254
;(7, 5);1;255
;(7, 5);1;256
;(7, 5);1;257
;(7, 5);1;258
;(7, 5);1;259
;(7, 5);1;260
;(7, 5);1;261
;(7, 5);1;262
;(7, 5);1;263
;(7, 5);1;264
;(7, 5);1;265
;(7, 5);1;266
MoveEast;(8, 5);1;267
;(8, 5);1;268
;(8, 5);1;269
;(8, 5);1;270
;(8, 5);1;271
;(8, 5);1;272
;(8, 5);1;273
;(8, 5);1;274
;(8, 5);1;275
;(8, 5);1;276
;(8, 5);1;277
;(8, 5);1;278
MoveSouth;(8, 6);1;279
;(8, 6);1;280
;(8, 6);1;281
;(8, 6);1;282
;(8, 6);1;283
;(8, 6);1;284
;(8, 6);1;285
;(8, 6);1;286
;(8, 6);1;287
;(8, 6);1;288
;(8, 6);1;289
;(8, 6);1;290
;(8, 6);1;291
;(8, 6);1;292
;(8, 6);1;293
;(8, 6);1;294
DropObject;(8, 6);1;295
;(8, 6);1;296
;(8, 6);1;297
;(8, 6);1;298
;(8, 6);1;299
;(8, 6);1;300
;(8, 6);1;301
;(8, 6);1;302
;(8, 6);1;303
;(8, 6);1;304
;(8, 6);1;305
;(8, 6);1;306
;(8, 6);1;307
;(8, 6);1;308
;(8, 6);1;309
GrabObject;(8, 6);1;310
;(8, 6);1;311
;(8, 6);1;312
;(8, 6);1;313
;(8, 6);1;314
;(8, 6);1;315
;(8, 6);1;316
;(8, 6);1;317
;(8, 6);1;318
;(8, 6);1;319
MoveWest;(7, 6);1;320
;(7, 6);1;321
;(7, 6);1;322
;(7, 6);1;323
;(7, 6);1;324
;(7, 6);1;325
;(7, 6);1;326
;(7, 6);1;327
;(7, 6);1;328
;(7, 6);1;329
MoveWest;(6, 6);1;330
;(6, 6);1;331
MoveWest;(5, 6);1;332
;(5, 6);1;333
MoveWest;(4, 6);1;334
;(4, 6);1;335
;(4, 6);1;336
;(4, 6);1;337
;(4, 6);1;338
;(4, 6);1;339
;(4, 6);1;340
;(4, 6);1;341
;(4, 6);1;342
;(4, 6);1;343
;(4, 6);1;344
;(4, 6);1;345
DropObject;(4, 6);1;346
;(4, 6);1;347
;(4, 6);1;348
;(4, 6);1;349
;(4, 6);1;350
;(4, 6);1;351
;(4, 6);1;352
;(4, 6);1;353
;(4, 6);1;354
;(4, 6);1;355
;(4, 6);1;356
;(4, 6);1;357
;(4, 6);1;358
;(4, 6);1;359
