robot selector_58_q-table;world_nr;tick_nr
;1;99
;1;199
;1;299
{frozenset({('Phase 2', False), ('Phase 3', False), ('Phase 4', False), ('Goal Phase', False)}): [-97.5, -71.0, 0], frozenset({('Phase 3', False), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-167.0, 0, 0], frozenset({('Phase 3', True), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-435.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', False)}): [-234.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};1;399
{frozenset({('Phase 2', False), ('Phase 3', False), ('Phase 4', False), ('Goal Phase', False)}): [-97.5, -71.0, 0], frozenset({('Phase 3', False), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-167.0, 0, 0], frozenset({('Phase 3', True), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-435.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', False)}): [-234.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};1;499
{frozenset({('Phase 2', False), ('Phase 3', False), ('Phase 4', False), ('Goal Phase', False)}): [-97.5, -71.0, 0], frozenset({('Phase 3', False), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-167.0, 0, 0], frozenset({('Phase 3', True), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-435.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', False)}): [-234.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};1;599
{frozenset({('Phase 2', False), ('Phase 3', False), ('Phase 4', False), ('Goal Phase', False)}): [-97.5, -71.0, 0], frozenset({('Phase 3', False), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-167.0, -78.0, 0], frozenset({('Phase 3', True), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-435.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', False)}): [-234.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};1;699
{frozenset({('Phase 2', False), ('Phase 3', False), ('Phase 4', False), ('Goal Phase', False)}): [-97.5, -71.0, 0], frozenset({('Phase 3', False), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-167.0, -78.0, 0], frozenset({('Phase 3', True), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-435.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', False)}): [-234.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};1;799
{frozenset({('Phase 2', False), ('Phase 3', False), ('Phase 4', False), ('Goal Phase', False)}): [-97.5, -71.0, 0], frozenset({('Phase 3', False), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-167.0, -78.0, 0], frozenset({('Phase 3', True), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-435.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', False)}): [-234.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};1;899
{frozenset({('Phase 2', False), ('Phase 3', False), ('Phase 4', False), ('Goal Phase', False)}): [-97.5, -71.0, 0], frozenset({('Phase 3', False), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-167.0, -78.0, 0], frozenset({('Phase 3', True), ('Phase 2', True), ('Phase 4', False), ('Goal Phase', False)}): [-435.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', False)}): [-234.5, 0, 0], frozenset({('Phase 3', True), ('Phase 4', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};1;999
