robot selector_58_q-table;world_nr;tick_nr
;1;99
;1;199
;1;299
;1;399
;1;499
{frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 2', False), ('Phase 3', False)}): [-119.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [0, 0, 0]};1;599
{frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 2', False), ('Phase 3', False)}): [-119.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [0, 0, 0]};1;699
{frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 2', False), ('Phase 3', False)}): [-119.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [0, 0, 0]};1;799
{frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 2', False), ('Phase 3', False)}): [-119.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [0, 0, 0]};1;899
{frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 2', False), ('Phase 3', False)}): [-119.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [0, 0, 0]};1;999
{frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 2', False), ('Phase 3', False)}): [-119.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [0, 0, 0]};1;1099
{frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 2', False), ('Phase 3', False)}): [-119.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [0, 0, 0]};1;1199
