human_selector_action;human_selector_location;human_action;human_location;machine_action;machine_location;victim_action;victim_location;gravitygod_action;gravitygod_location;rewardgod_action;rewardgod_location;robot_selector_action;robot_selector_location;world_nr;tick_nr
;(3, 4);;(1, 7);;(15, 7);;(8, 7);;(0, 0);;(0, 0);;(4, 4);2;0
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;1
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;2
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;3
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;4
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;5
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;6
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;7
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;8
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;9
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;10
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;11
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;12
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;13
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;14
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;15
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;16
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;17
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;18
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;19
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;20
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;21
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;22
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;23
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;24
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;25
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;26
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;27
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;28
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;29
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;30
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;31
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;32
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;33
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;34
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;35
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;36
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;37
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;38
;(3, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;39
MoveEast;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;40
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;41
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;42
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;43
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;44
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);;(4, 4);2;45
;(4, 4);;(1, 7);;(15, 7);ManageImg;(8, 7);Fall;(0, 0);;(0, 0);Idle;(4, 4);2;46
