robot selector_50_q-table;world_nr;tick_nr
;1;99
;1;199
;1;299
;1;399
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [0, 0, 0]};1;499
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [0, 0, 0]};1;599
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [0, 0, 0]};1;699
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [0, 0, 0]};1;799
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [0, 0, 0]};1;899
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [0, 0, 0]};1;999
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [-389.0, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Goal Phase', False), ('Phase 3', True)}): [0, 0, 0]};1;1099
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [-389.0, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Goal Phase', False), ('Phase 3', True)}): [0, 0, 0]};1;1199
{frozenset({('Phase 3', False), ('Phase 4', False), ('Phase 2', False), ('Goal Phase', False)}): [-105.5, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Phase 3', False), ('Goal Phase', False)}): [-389.0, 0, 0], frozenset({('Phase 2', True), ('Phase 4', False), ('Goal Phase', False), ('Phase 3', True)}): [0, 0, 0]};1;1299
