robot selector_58_q-table;world_nr;tick_nr
;1;99
;1;199
;1;299
;1;399
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;499
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;599
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;699
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;799
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;899
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;999
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;1099
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;1199
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;1299
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;1399
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;1499
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [0, 0, 0]};1;1599
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-293.5, 0, 0], frozenset({('Phase 2', True), ('Phase 3', True), ('Goal Phase', False), ('Phase 4', False)}): [0, 0, 0]};1;1699
{frozenset({('Goal Phase', False), ('Phase 2', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, 0, 0], frozenset({('Phase 2', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-293.5, 0, 0], frozenset({('Phase 2', True), ('Phase 3', True), ('Goal Phase', False), ('Phase 4', False)}): [0, 0, 0]};1;1799
