human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
;(3, 4);1;1
;(3, 4);1;2
;(3, 4);1;3
;(3, 4);1;4
;(3, 4);1;5
;(3, 4);1;6
;(3, 4);1;7
;(3, 4);1;8
;(3, 4);1;9
;(3, 4);1;10
;(3, 4);1;11
;(3, 4);1;12
;(3, 4);1;13
;(3, 4);1;14
;(3, 4);1;15
;(3, 4);1;16
;(3, 4);1;17
MoveEast;(4, 4);1;18
;(4, 4);1;19
;(4, 4);1;20
;(4, 4);1;21
;(4, 4);1;22
;(4, 4);1;23
;(4, 4);1;24
;(4, 4);1;25
;(4, 4);1;26
;(4, 4);1;27
;(4, 4);1;28
;(4, 4);1;29
;(4, 4);1;30
;(4, 4);1;31
MoveEast;(5, 4);1;32
;(5, 4);1;33
;(5, 4);1;34
;(5, 4);1;35
MoveEast;(6, 4);1;36
;(6, 4);1;37
;(6, 4);1;38
;(6, 4);1;39
;(6, 4);1;40
;(6, 4);1;41
MoveEast;(7, 4);1;42
;(7, 4);1;43
;(7, 4);1;44
;(7, 4);1;45
MoveEast;(8, 4);1;46
;(8, 4);1;47
;(8, 4);1;48
;(8, 4);1;49
;(8, 4);1;50
MoveEast;(9, 4);1;51
;(9, 4);1;52
;(9, 4);1;53
;(9, 4);1;54
;(9, 4);1;55
;(9, 4);1;56
MoveEast;(10, 4);1;57
;(10, 4);1;58
;(10, 4);1;59
;(10, 4);1;60
;(10, 4);1;61
;(10, 4);1;62
;(10, 4);1;63
;(10, 4);1;64
;(10, 4);1;65
;(10, 4);1;66
;(10, 4);1;67
;(10, 4);1;68
;(10, 4);1;69
;(10, 4);1;70
;(10, 4);1;71
;(10, 4);1;72
;(10, 4);1;73
;(10, 4);1;74
;(10, 4);1;75
;(10, 4);1;76
;(10, 4);1;77
;(10, 4);1;78
;(10, 4);1;79
;(10, 4);1;80
;(10, 4);1;81
;(10, 4);1;82
;(10, 4);1;83
MoveWest;(9, 4);1;84
;(9, 4);1;85
;(9, 4);1;86
;(9, 4);1;87
;(9, 4);1;88
;(9, 4);1;89
;(9, 4);1;90
;(9, 4);1;91
;(9, 4);1;92
;(9, 4);1;93
;(9, 4);1;94
;(9, 4);1;95
MoveNorth;(9, 3);1;96
;(9, 3);1;97
;(9, 3);1;98
;(9, 3);1;99
;(9, 3);1;100
;(9, 3);1;101
;(9, 3);1;102
;(9, 3);1;103
;(9, 3);1;104
;(9, 3);1;105
;(9, 3);1;106
MoveEast;(10, 3);1;107
;(10, 3);1;108
;(10, 3);1;109
;(10, 3);1;110
;(10, 3);1;111
;(10, 3);1;112
;(10, 3);1;113
;(10, 3);1;114
;(10, 3);1;115
;(10, 3);1;116
;(10, 3);1;117
;(10, 3);1;118
;(10, 3);1;119
;(10, 3);1;120
;(10, 3);1;121
;(10, 3);1;122
;(10, 3);1;123
;(10, 3);1;124
;(10, 3);1;125
;(10, 3);1;126
;(10, 3);1;127
;(10, 3);1;128
;(10, 3);1;129
;(10, 3);1;130
;(10, 3);1;131
;(10, 3);1;132
;(10, 3);1;133
;(10, 3);1;134
;(10, 3);1;135
;(10, 3);1;136
;(10, 3);1;137
;(10, 3);1;138
;(10, 3);1;139
;(10, 3);1;140
;(10, 3);1;141
;(10, 3);1;142
;(10, 3);1;143
;(10, 3);1;144
;(10, 3);1;145
;(10, 3);1;146
;(10, 3);1;147
;(10, 3);1;148
;(10, 3);1;149
;(10, 3);1;150
;(10, 3);1;151
;(10, 3);1;152
;(10, 3);1;153
;(10, 3);1;154
;(10, 3);1;155
;(10, 3);1;156
;(10, 3);1;157
;(10, 3);1;158
;(10, 3);1;159
MoveEast;(11, 3);1;160
;(11, 3);1;161
;(11, 3);1;162
;(11, 3);1;163
;(11, 3);1;164
;(11, 3);1;165
;(11, 3);1;166
;(11, 3);1;167
;(11, 3);1;168
;(11, 3);1;169
;(11, 3);1;170
;(11, 3);1;171
;(11, 3);1;172
;(11, 3);1;173
;(11, 3);1;174
;(11, 3);1;175
;(11, 3);1;176
;(11, 3);1;177
;(11, 3);1;178
;(11, 3);1;179
;(11, 3);1;180
;(11, 3);1;181
;(11, 3);1;182
;(11, 3);1;183
MoveWest;(10, 3);1;184
;(10, 3);1;185
;(10, 3);1;186
;(10, 3);1;187
;(10, 3);1;188
;(10, 3);1;189
;(10, 3);1;190
MoveWest;(9, 3);1;191
;(9, 3);1;192
;(9, 3);1;193
;(9, 3);1;194
;(9, 3);1;195
;(9, 3);1;196
;(9, 3);1;197
;(9, 3);1;198
MoveSouth;(9, 4);1;199
;(9, 4);1;200
;(9, 4);1;201
;(9, 4);1;202
;(9, 4);1;203
;(9, 4);1;204
;(9, 4);1;205
;(9, 4);1;206
;(9, 4);1;207
;(9, 4);1;208
;(9, 4);1;209
;(9, 4);1;210
;(9, 4);1;211
;(9, 4);1;212
;(9, 4);1;213
;(9, 4);1;214
;(9, 4);1;215
;(9, 4);1;216
;(9, 4);1;217
;(9, 4);1;218
;(9, 4);1;219
;(9, 4);1;220
;(9, 4);1;221
;(9, 4);1;222
;(9, 4);1;223
;(9, 4);1;224
;(9, 4);1;225
;(9, 4);1;226
;(9, 4);1;227
;(9, 4);1;228
;(9, 4);1;229
;(9, 4);1;230
;(9, 4);1;231
;(9, 4);1;232
;(9, 4);1;233
;(9, 4);1;234
;(9, 4);1;235
MoveWest;(8, 4);1;236
;(8, 4);1;237
;(8, 4);1;238
;(8, 4);1;239
;(8, 4);1;240
MoveWest;(7, 4);1;241
;(7, 4);1;242
;(7, 4);1;243
;(7, 4);1;244
MoveEast;(8, 4);1;245
;(8, 4);1;246
;(8, 4);1;247
;(8, 4);1;248
;(8, 4);1;249
;(8, 4);1;250
;(8, 4);1;251
;(8, 4);1;252
MoveEast;(9, 4);1;253
;(9, 4);1;254
;(9, 4);1;255
;(9, 4);1;256
;(9, 4);1;257
;(9, 4);1;258
;(9, 4);1;259
MoveEast;(10, 4);1;260
;(10, 4);1;261
;(10, 4);1;262
;(10, 4);1;263
;(10, 4);1;264
;(10, 4);1;265
;(10, 4);1;266
;(10, 4);1;267
;(10, 4);1;268
MoveNorth;(10, 3);1;269
;(10, 3);1;270
;(10, 3);1;271
;(10, 3);1;272
;(10, 3);1;273
;(10, 3);1;274
;(10, 3);1;275
MoveWest;(9, 3);1;276
;(9, 3);1;277
;(9, 3);1;278
;(9, 3);1;279
;(9, 3);1;280
;(9, 3);1;281
MoveWest;(8, 3);1;282
;(8, 3);1;283
;(8, 3);1;284
;(8, 3);1;285
;(8, 3);1;286
;(8, 3);1;287
;(8, 3);1;288
;(8, 3);1;289
;(8, 3);1;290
;(8, 3);1;291
;(8, 3);1;292
;(8, 3);1;293
MoveEast;(9, 3);1;294
;(9, 3);1;295
;(9, 3);1;296
;(9, 3);1;297
;(9, 3);1;298
MoveEast;(10, 3);1;299
;(10, 3);1;300
;(10, 3);1;301
;(10, 3);1;302
;(10, 3);1;303
;(10, 3);1;304
;(10, 3);1;305
;(10, 3);1;306
;(10, 3);1;307
;(10, 3);1;308
;(10, 3);1;309
;(10, 3);1;310
;(10, 3);1;311
MoveSouth;(10, 4);1;312
;(10, 4);1;313
;(10, 4);1;314
;(10, 4);1;315
;(10, 4);1;316
;(10, 4);1;317
;(10, 4);1;318
;(10, 4);1;319
;(10, 4);1;320
;(10, 4);1;321
;(10, 4);1;322
;(10, 4);1;323
;(10, 4);1;324
;(10, 4);1;325
;(10, 4);1;326
;(10, 4);1;327
;(10, 4);1;328
;(10, 4);1;329
;(10, 4);1;330
;(10, 4);1;331
;(10, 4);1;332
;(10, 4);1;333
;(10, 4);1;334
;(10, 4);1;335
;(10, 4);1;336
;(10, 4);1;337
;(10, 4);1;338
;(10, 4);1;339
;(10, 4);1;340
;(10, 4);1;341
;(10, 4);1;342
;(10, 4);1;343
;(10, 4);1;344
;(10, 4);1;345
;(10, 4);1;346
;(10, 4);1;347
;(10, 4);1;348
;(10, 4);1;349
;(10, 4);1;350
MoveSouth;(10, 5);1;351
;(10, 5);1;352
;(10, 5);1;353
;(10, 5);1;354
;(10, 5);1;355
MoveSouth;(10, 6);1;356
;(10, 6);1;357
;(10, 6);1;358
;(10, 6);1;359
;(10, 6);1;360
;(10, 6);1;361
;(10, 6);1;362
;(10, 6);1;363
;(10, 6);1;364
;(10, 6);1;365
;(10, 6);1;366
MoveNorth;(10, 5);1;367
;(10, 5);1;368
;(10, 5);1;369
;(10, 5);1;370
;(10, 5);1;371
;(10, 5);1;372
;(10, 5);1;373
;(10, 5);1;374
;(10, 5);1;375
;(10, 5);1;376
;(10, 5);1;377
;(10, 5);1;378
;(10, 5);1;379
;(10, 5);1;380
;(10, 5);1;381
MoveWest;(9, 5);1;382
;(9, 5);1;383
;(9, 5);1;384
;(9, 5);1;385
;(9, 5);1;386
;(9, 5);1;387
;(9, 5);1;388
;(9, 5);1;389
;(9, 5);1;390
;(9, 5);1;391
