robot selector_117_q-table;world_nr;tick_nr
;2;99
;2;199
;2;299
;2;399
;2;499
;2;599
;2;699
;2;799
;2;899
;2;999
;2;1099
;2;1199
;2;1299
;2;1399
;2;1499
;2;1599
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;1699
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;1799
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;1899
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;1999
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2099
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2199
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2299
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2399
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2499
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2599
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2699
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, 0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2799
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, -291.0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2899
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, -291.0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;2999
{frozenset({('Phase 2', False), ('Goal Phase', False), ('Phase 4', False), ('Phase 3', False)}): [-97.5, -391.5, 0], frozenset({('Goal Phase', False), ('Phase 2', True), ('Phase 3', False), ('Phase 4', False)}): [-263.5, -291.0, 0], frozenset({('Goal Phase', False), ('Phase 3', True), ('Phase 2', True), ('Phase 4', False)}): [-239.0, 0, 0], frozenset({('Phase 4', True), ('Goal Phase', False), ('Phase 3', True), ('Phase 2', True)}): [-108.0, 0, 0], frozenset({('Phase 4', True), ('Phase 3', True), ('Phase 2', True), ('Goal Phase', True)}): [0, 0, 0]};2;3099
