human_selector;human;machine;victim;gravitygod;rewardgod;ontologygod;robot;world_nr;tick_nr
1;1;1;1;1;1;1;1;1;0
1;1;1;0;0;1;1;1;1;1
1;1;1;0;0;1;1;1;1;2
1;1;1;0;0;1;1;1;1;3
1;1;1;0;0;1;1;0;1;4
1;1;1;0;0;1;1;0;1;5
1;1;1;0;0;1;1;0;1;6
1;1;1;0;0;1;1;0;1;7
1;1;1;0;0;1;1;0;1;8
1;1;1;0;0;1;1;0;1;9
1;1;1;0;0;1;1;0;1;10
1;1;1;0;0;1;1;0;1;11
1;1;1;0;0;1;1;0;1;12
1;1;1;0;0;1;1;0;1;13
1;1;1;0;0;1;1;0;1;14
1;1;1;0;0;1;1;0;1;15
1;1;1;0;0;1;1;0;1;16
0;1;1;0;0;1;1;0;1;17
1;1;1;0;0;1;1;0;1;18
1;1;1;0;0;1;1;0;1;19
1;1;1;0;0;1;1;0;1;20
0;1;1;0;0;1;1;0;1;21
1;1;1;0;0;1;1;0;1;22
1;1;1;0;0;1;1;0;1;23
0;1;1;0;0;1;1;0;1;24
1;1;1;0;0;1;1;0;1;25
1;1;1;0;0;1;1;0;1;26
1;1;1;0;0;1;1;0;1;27
0;1;1;0;0;1;1;0;1;28
1;1;1;0;0;1;1;0;1;29
1;1;1;0;0;1;1;0;1;30
1;1;1;0;0;1;1;0;1;31
1;1;1;0;0;1;1;0;1;32
0;1;1;0;0;1;1;0;1;33
1;1;1;0;0;1;1;0;1;34
1;1;1;0;0;1;1;0;1;35
1;1;1;0;0;1;1;0;1;36
1;1;1;0;0;1;1;0;1;37
1;1;1;0;0;1;1;0;1;38
1;1;1;0;0;1;1;0;1;39
1;1;1;0;0;1;1;0;1;40
1;1;1;0;0;1;1;0;1;41
1;1;1;0;0;1;1;0;1;42
1;1;1;0;0;1;1;0;1;43
1;1;1;0;0;1;1;0;1;44
1;1;1;0;0;1;1;0;1;45
1;1;1;0;0;1;1;0;1;46
1;1;1;0;0;1;1;0;1;47
1;1;1;0;0;1;1;0;1;48
1;1;1;0;0;1;1;0;1;49
1;1;1;0;0;1;1;0;1;50
1;1;1;0;0;1;1;0;1;51
0;1;1;0;0;1;1;0;1;52
1;1;1;0;0;1;1;0;1;53
0;1;1;0;0;1;1;0;1;54
1;1;1;0;0;1;1;0;1;55
1;1;1;0;0;1;1;0;1;56
1;1;1;0;0;1;1;0;1;57
1;1;1;0;0;1;1;0;1;58
0;1;1;0;0;1;1;0;1;59
1;1;1;0;0;1;1;0;1;60
1;1;1;0;0;1;1;0;1;61
1;1;1;0;0;1;1;0;1;62
0;1;1;0;0;1;1;0;1;63
1;1;1;0;0;1;1;0;1;64
1;1;1;0;0;1;1;0;1;65
1;1;1;0;0;1;1;0;1;66
0;1;1;0;0;1;1;0;1;67
1;1;1;0;0;1;1;0;1;68
1;1;1;0;0;1;1;0;1;69
